도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
19043,경기도,광명시,광명2동,광명동,62-18,광이로65번길,5,7통,나눔빌라,\N,B01,경기도 광명시 광명2동 62-18,경기도 광명시 광명동 62-18번지,2003-08-08,다세대주택,경기도 광명시 광명동 62-18번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858871666183 37.4839577113669),126.858871666183,37.4839577113669
22231,경기도,광명시,광명5동,광명동,288-79,광오로,12월 07일,16통,지2,\N,\N,경기도 광명시 광명5동 288-79,경기도 광명시 광명동 288-79번지,1988-07-11,단독주택,경기도 광명시 광명동 288-79번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.850928388001 37.4756587052139),126.850928388001,37.4756587052139
19044,경기도,광명시,광명2동,광명동,62-18,광이로65번길,5,7통,나눔빌라,\N,B02,경기도 광명시 광명2동 62-18,경기도 광명시 광명동 62-18번지,2003-08-08,다세대주택,경기도 광명시 광명동 62-18번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858871666183 37.4839577113669),126.858871666183,37.4839577113669
58308,경기도,구리시,수택3동,토평동,1001,검배로120번길,15,25통,한강빌,\N,B105,경기도 구리시 수택3동 1001,경기도 구리시 토평동 1001번지,2002-07-29,다가구주택,경기도 구리시 토평동 1001번지,2010-09-21,2010,1122,17083.2705,2,POINT (127.151106552757 37.5934438489347),127.151106552757,37.5934438489347
19045,경기도,광명시,광명2동,광명동,Feb-62,광이로,63,7통,영하이츠빌라,\N,B01,경기도 광명시 광명2동 62-2,경기도 광명시 광명동 62-2번지,1993-07-14,다세대주택,경기도 광명시 광명동 62-2번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.859097726112 37.4840120260995),126.859097726112,37.4840120260995
22232,경기도,광명시,광명5동,광명동,288-8,광명로857번길,14,15통,지층(문열고정면집),\N,\N,경기도 광명시 광명5동 288-8,경기도 광명시 광명동 288-8번지,1985-11-15,단독주택,경기도 광명시 광명동 288-8번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851142126532 37.476181568334),126.851142126532,37.476181568334
58309,경기도,구리시,수택3동,토평동,1001-11,검배로120번길,07월 21일,25통,\N,\N,102,경기도 구리시 수택3동 1001-11,경기도 구리시 토평동 1001-11번지,2002-09-18,다가구주택,경기도 구리시 토평동 1001-11번지,2010-09-21,2010,1122,17083.2705,2,POINT (127.151400506101 37.5932632608308),127.151400506101,37.5932632608308
19046,경기도,광명시,광명2동,광명동,Feb-62,광이로,63,7통,영하이츠빌라,\N,B02,경기도 광명시 광명2동 62-2,경기도 광명시 광명동 62-2번지,1993-07-14,다세대주택,경기도 광명시 광명동 62-2번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.859097726112 37.4840120260995),126.859097726112,37.4840120260995
22233,경기도,광명시,광명5동,광명동,288-81,광오로,12월 14일,16통,대동빌라,\N,B01,경기도 광명시 광명5동 288-81,경기도 광명시 광명동 288-81번지,2001-09-12,다세대주택,경기도 광명시 광명동 288-81번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851255785139 37.4759113776851),126.851255785139,37.4759113776851
19047,경기도,광명시,광명2동,광명동,Feb-62,광이로,63,7통,영하이츠빌라,\N,B03,경기도 광명시 광명2동 62-2,경기도 광명시 광명동 62-2번지,1993-07-14,다세대주택,경기도 광명시 광명동 62-2번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.859097726112 37.4840120260995),126.859097726112,37.4840120260995
